stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,vehicle_type
0:SHEBENWF,SHELBY DRIVE at BENOIT DRIVE,st 2411,35.020502,-89.836578,,0,1:SHEBENWF,3
0:SPAKENEN,SOUTH PARKWAY WEST at KENTUCKY STREET,st 2275,35.107663,-90.063731,,0,1:SPAKENEN,3
0:FLOEOLNN,FLORIDA STREET at EAST OLIVE AVENUE,st 4982,35.110049,-90.062237,,0,1:FLOEOLNN,3
0:SHETUGWM,SHELBY DRIVE at TUGGLE ROAD,st 2421,35.020572,-89.888789,,0,1:SHETUGWM,3
0:LAMPENEF,LAMAR AVENUE at PENDLETON STREET,st 5757,35.094161,-89.969504,,0,1:LAMPENEF,3
0:LAMFILEF,LAMAR AVENUE at FILMORE AVENUE,st 5758,35.092167,-89.967704,,0,1:LAMFILEF,3
0:LAMSHUEN,LAMAR AVENUE at SHULTZ AVENUE,st 5759,35.090137,-89.965992,,0,1:LAMSHUEN,3
0:LAMSOUEM,LAMAR AVENUE at SOUTHWALL STREET,st 5760,35.08901,-89.965087,,0,1:LAMSOUEM,3
0:ALCMANWN,ALCY ROAD at MANCHESTER ROAD,st 7116,35.077823,-90.005842,,0,1:ALCMANWN,3
0:ALCPERWM,ALCY ROAD at PERRY ROAD,st 7117,35.077968,-90.010398,,0,1:ALCPERWM,3
0:ALCSPAWN,ALCY ROAD at SPARKS STREET,st 6123,35.078032,-90.012422,,0,1:ALCSPAWN,3
0:SPAGAUNN,SPARKS STREET at GAUSCO ROAD,st 7113,35.080302,-90.012342,,0,1:SPAGAUNN,3
0:BALSILWN,BALL ROAD at SILVER STREET,st 7114,35.082125,-90.013126,,0,1:BALSILWN,3
0:GETCRONF,GETWELL ROAD at CROWFARD DRIVE,st 2577,35.031103,-89.936939,,0,1:GETCRONF,3
0:RAIGETEF,RAINES ROAD at GETWELL ROAD,st 2622,35.036687,-89.93536,,0,1:RAIGETEF,3
0:KANDISSN,KANSAS STREET at DISON AVENUE,st 2253,35.10113,-90.065159,,0,1:KANDISSN,3
0:KANKIRSN,KANSAS STREET at KIRK AVENUE,st 2254,35.099727,-90.065314,,0,1:KANKIRSN,3
0:KANVAASF,KANSAS STREET at VAAL AVENUE,st 2255,35.097922,-90.065502,,0,1:KANVAASF,3
0:KANPRESN,KANSAS STREET at PRETORIA AVENUE,st 2256,35.09651,-90.066475,,0,1:KANPRESN,3
0:GETCRONN,GETWELL ROAD at CROWFARD DRIVE,st 2576,35.029404,-89.936909,,0,1:GETCRONN,3
0:LAMSNOEF,LAMAR AVENUE at SNOWDEN CIRCLE,st 5734,35.125999,-90.016436,,0,1:LAMSNOEF,3
0:HOLMALEM,HOLMES ROAD at MALONE ROAD,st 2523,35.006063,-89.925106,,0,1:HOLMALEM,3
0:JACMACSF,JACKSON AVENUE at MACON ROAD,st 3735,35.164325,-89.95373,,0,1:JACMACSF,3
0:JACHUDSN,JACKSON AVENUE at HUDSON STREET,st 3736,35.162936,-89.955906,,0,1:JACHUDSN,3
0:JACPOPSN,JACKSON AVENUE at POPE STREET,st 3737,35.161681,-89.958524,,0,1:JACPOPSN,3
0:PARSHOWN,PARK AVENUE at SHOTWELL STREET,st 2159,35.107627,-89.931674,,0,1:PARSHOWN,3
0:NATFAINF,NATIONAL STREET at FAIROAKS AVENUE,st 6973,35.168759,-89.944008,,0,1:NATFAINF,3
